TIMESTAMP,UserID,TaskID,RaycastCount,LassoCount,SelectedACount,SelectedBCount,UnselectedCount
138.9202,1,1,0,0,0,0,250
150.1869,1,1,1,0,1,0, 249
175.0535,1,1,1,0,2,0, 248
176.5202,1,1,1,0,3,0, 247
177.2202,1,1,1,0,4,0, 246
177.8202,1,1,1,0,5,0, 245
178.9702,1,1,1,0,6,0, 244
179.5202,1,1,1,0,7,0, 243
181.6536,1,1,0,113,120,0, 130
226.687,1,2,0,0,0,0,250
247.4203,1,2,0,109,109,0, 141
255.437,1,3,0,0,0,0,500
278.237,1,3,0,1,1,0, 499
278.637,1,3,0,4,5,0, 495
280.837,1,3,0,0,0,0, 500
286.0704,1,3,0,120,120,0, 380
300.4204,1,4,0,0,0,0,750
305.2704,1,4,0,8,8,0, 742
306.8704,1,4,0,0,0,0, 750
341.6705,1,4,0,110,110,0, 640
344.0204,1,5,0,0,0,0,500
383.1705,1,5,0,116,116,0, 384
385.4705,1,6,0,0,0,0,750
423.8206,1,6,0,94,94,0, 656
426.2206,1,7,0,0,0,0,250
437.9373,1,7,0,91,91,0, 159
442.0539,1,7,1,0,92,0, 158
446.2873,1,8,0,0,0,0,750
450.0872,1,8,0,6,6,0, 744
451.3706,1,8,0,0,0,0, 750
486.6373,1,8,0,94,94,0, 656
488.8207,1,9,0,0,0,0,250
494.454,1,9,0,91,91,0, 159
496.5707,1,10,0,0,0,0,250
500.704,1,10,0,90,90,0, 160
502.9207,1,11,0,0,0,0,750
507.904,1,11,0,136,136,0, 614
632.9042,1,12,0,0,0,0,250
643.2542,1,12,0,98,98,0, 152
646.5042,1,13,0,0,0,0,500
662.4376,1,13,0,124,124,0, 376
664.6209,1,14,0,0,0,0,500
669.8043,1,14,0,101,101,0, 399
672.1542,1,15,0,0,0,0,500
685.6043,1,15,0,121,121,0, 379
687.8709,1,16,0,0,0,0,500
688.7543,1,16,1,0,1,0, 499
689.4042,1,16,0,5,6,0, 494
690.7209,1,16,0,0,0,0, 500
692.0209,1,16,0,5,5,0, 495
693.0209,1,16,0,0,0,0, 500
698.9376,1,16,0,101,101,0, 399
700.9043,1,17,0,0,0,0,250
704.9045,1,17,0,96,96,0, 154
706.6876,1,18,0,0,0,0,750
712.3543,1,18,0,136,136,0, 614
740.5377,1,19,0,0,0,0,250
761.2377,1,19,0,104,104,0, 146
767.0877,1,20,0,0,0,0,250
782.1544,1,20,0,110,110,0, 140
798.0544,1,21,0,0,0,0,500
814.4045,1,21,0,96,96,0, 404
815.7211,1,21,1,0,95,0, 405
816.9711,1,21,1,0,94,0, 406
817.5378,1,21,1,0,93,0, 407
818.2211,1,21,1,0,92,0, 408
818.8712,1,21,1,0,91,0, 409
819.4545,1,21,1,0,90,0, 410
820.4711,1,21,1,0,89,0, 411
821.1545,1,21,1,0,88,0, 412
822.1711,1,21,1,0,87,0, 413
822.9711,1,21,1,0,86,0, 414
823.6212,1,21,1,0,85,0, 415
824.4045,1,21,1,0,84,0, 416
825.1211,1,21,1,0,83,0, 417
828.1212,1,21,1,0,82,0, 418
829.3378,1,21,1,0,81,0, 419
830.7378,1,21,1,0,80,0, 420
831.9211,1,21,1,0,79,0, 421
833.9378,1,21,1,0,78,0, 422
837.2878,1,21,1,0,77,0, 423
863.0045,1,22,0,0,0,0,500
868.4212,1,23,0,0,0,0,250
883.8046,1,23,0,100,100,0, 150
886.0378,1,23,1,0,99,0, 151
887.2712,1,23,1,0,98,0, 152
888.4713,1,23,1,0,97,0, 153
889.7379,1,23,1,0,96,0, 154
890.3212,1,23,1,0,95,0, 155
